package,stars,downloads,gallery,description,CRAN
tablesgg,NA,13093,NA,"Presentation-Quality Tables, Displayed Using 'ggplot2'",TRUE
qtl2ggplot,NA,12907,NA,Data Visualization for QTL Experiments,TRUE
tgamtheme,NA,12767,NA,Globe and Mail Graphics Theme for 'ggplot2',TRUE
ggx,151,12654,TRUE,A Natural Language Interface to 'ggplot2',TRUE
ggstudent,NA,12647,NA,Continuous Confidence Interval Plots using t-Distribution,TRUE
ggnuplot,NA,12410,NA,Make 'ggplot2' Look Like 'gnuplot',TRUE
gggap,NA,12130,NA,Streamlined Creation of Segments on the Y-Axis of 'ggplot2' Plots,TRUE
gghilbertstrings,NA,11732,NA,A Fast 'ggplot2'-Based Implementation of Hilbert Curves,TRUE
ggtikz,NA,11562,NA,Post-Process 'ggplot2' Plots with 'TikZ' Code Using Plot Coordinates,TRUE
ggtrendline,NA,11293,NA,Add Trendline and Confidence Interval to 'ggplot',TRUE
smplot2,NA,11088,NA,"Create Standalone and Composite Plots in 'ggplot2' for
Publications",TRUE
ggordiplots,NA,11006,NA,Make 'ggplot2' Versions of Vegan's Ordiplots,TRUE
ggcleveland,NA,10763,NA,Implementation of Plots from Cleveland's Visualizing Data Book,TRUE
ggplate,NA,10761,NA,Create Layout Plots of Biological Culture Plates and Microplates,TRUE
ggmatplot,NA,10681,NA,Plot Columns of Two Matrices Against Each Other Using 'ggplot2',TRUE
ggcorset,NA,10657,NA,The Corset Plot,TRUE
tidyplots,415,10370,TRUE,NA,NA
ggpolar,NA,10323,NA,Dots and Their Connections in Polar Coordinate System,TRUE
onsvplot,NA,10113,NA,"National Road Safety Observatory (ONSV) Style for 'ggplot2'
Graphics",TRUE
ggalignment,NA,9618,NA,Plots 'D&D'-Style Alignment Charts,TRUE
ggDoubleHeat,14,9412,TRUE,A Heatmap-Like Visualization Tool,TRUE
ggpointless,NA,9233,NA,Additional Geometries and Stats for 'ggplot2',TRUE
ggESDA,21,9023,TRUE,Exploratory Symbolic Data Analysis with 'ggplot2',TRUE
gamlss.ggplots,NA,8864,NA,"Plotting Functions for Generalized Additive Model for Location
Scale and Shape",TRUE
ggsurvey,NA,8655,NA,Simplifying 'ggplot2' for Survey Data,TRUE
ggbrain,NA,8409,NA,Create Images of Volumetric Brain Data in NIfTI Format Using 'ggplot2' Syntax,TRUE
ggchangepoint,NA,8386,NA,Combines Changepoint Analysis with 'ggplot2',TRUE
ggDoE,NA,8086,NA,Modern Graphs for Design of Experiments with 'ggplot2',TRUE
ggtea,NA,7992,NA,Palettes and Themes for 'ggplot2',TRUE
ggsector,4,7854,TRUE,Draw Sectors,TRUE
ggfacto,NA,7629,NA,Graphs for Correspondence Analysis,TRUE
painbow,NA,7587,NA,"Use XKCD's ""Painbow"" Colormap in ggplot2",TRUE
ggtrace,15,7340,TRUE,Trace and Highlight Groups of Data Points,TRUE
mlbplotR,NA,7262,NA,"Create 'ggplot2' and 'gt' Visuals with Major League Baseball
Logos",TRUE
fillpattern,NA,7150,NA,Patterned Fills for 'ggplot2' and 'grid' Graphics,TRUE
ggmapinset,36,6607,TRUE,Add Inset Panels to Maps,TRUE
ggflowchart,88,6506,TRUE,Flowcharts with 'ggplot2',TRUE
gglgbtq,NA,6425,NA,Show Pride on 'ggplot2' Plots,TRUE
ggfixest,NA,6139,NA,Dedicated 'ggplot2' Methods for 'fixest' Objects,TRUE
ggmugs,NA,6026,NA,Visualization of Multiple Genome-Wide Association Study Summary Statistics,TRUE
ggpcp,1,6004,TRUE,Parallel Coordinate Plots in the 'ggplot2' Framework,TRUE
ggblend,184,5927,TRUE,Blending and Compositing Algebra for 'ggplot2',TRUE
ggredist,NA,5715,NA,"Scales, Geometries, and Extensions of 'ggplot2' for Election Mapping",TRUE
ggFishPlots,NA,5682,NA,Visualise and Calculate Life History Parameters for Fisheries Science using 'ggplot2',TRUE
oblicubes,20,5677,TRUE,NA,NA
ggarrow,54,5245,TRUE,Arrows for 'ggplot2',TRUE
ggsankeyfier,NA,5179,NA,Create Sankey and Alluvial Diagrams Using 'ggplot2',TRUE
ggdaynight,NA,5110,NA,Add Day/Night Patterns to 'ggplot2' Plots,TRUE
ggtricks,NA,4959,NA,Create Sector and Other Charts Easily Using Grammar of Graphics,TRUE
ggragged,35,4677,TRUE,Ragged Grids for 'ggplot2',TRUE
ggrounded,NA,4350,NA,Rounded Bar Plots,TRUE
gghdx,NA,4331,NA,"HDX Theme, Scales, and Other Conveniences for 'ggplot2'",TRUE
stevethemes,NA,4260,NA,Steve's 'ggplot2' Themes and Related Theme Elements,TRUE
unhcrthemes,NA,4118,NA,UNHCR 'ggplot2' Theme and Colour Palettes,TRUE
gghist,NA,4081,NA,Plot the Histogram of a Numeric Vector,TRUE
ggsmc,NA,4039,NA,Visualising Output from Sequential Monte Carlo Samplers and Ensemble-Based Methods,TRUE
